"sta_id","zsc_f1","zsc_f2","fsc_f1","fsc_f2"
"sta_1",1.84381534298754,-1.82369749224052,4,-4
"sta_2",-1.01887789982185,2.10867267703888,-2,4
"sta_3",-2.21082810594071,1.81458089897459,-4,3
"sta_4",0.542572380220803,-0.360469486644888,1,0
"sta_5",-1.22068063621238,1.83783562581789,-2,3
"sta_6",-1.72496338547228,0.93071050275312,-3,2
"sta_7",-1.31304222282705,0.254314324121766,-2,1
"sta_8",1.65649072764888,-1.62662418819699,3,-3
"sta_9",0.407605343138085,-0.527773629792401,0,-1
"sta_10",0.588706430160636,-0.414555654357593,1,-1
"sta_11",0.672796870874238,-0.930042294023935,1,-2
"sta_12",1.26913296226305,-0.90109221149936,3,-2
"sta_13",0.720525893671713,-1.32198776324161,2,-3
"sta_14",0.607667268252137,-0.608346381927717,1,-1
"sta_15",0.800584609077223,-0.687734538556948,2,-2
"sta_16",-1.47350794242902,1.27167483977955,-3,2
"sta_17",0.713276105775071,-0.730361879228903,2,-2
"sta_18",-1.14739573473713,1.5059539805679,-2,2
"sta_19",0.997152907259467,-0.550701688729741,2,-1
"sta_20",0.03608669624808,-0.125015466077719,0,0
"sta_21",0.382389961741945,-0.321488802239214,0,0
"sta_22",-0.12839497994681,-0.653572436587603,0,-1
"sta_23",0.379099518669838,-0.170494584069573,0,0
"sta_24",-0.148812064532975,0.182923514287045,-1,1
"sta_25",0.491525070104723,0.22558436764954,1,1
"sta_26",-0.31246809977281,0.103243253370403,-1,0
"sta_27",-0.204862681425189,0.417817256854224,-1,1
"sta_28",-0.569619336254485,0.150455736426755,-1,0
"sta_29",-0.555127629145455,0.689414509690534,-1,2
"sta_30",-0.0808473695752879,0.260777010082518,0,1
