"crib_f2","n","text","fsc_f2","cons","dist_f2","com_f2"
"Items Ranked at Highest Extreme",2,"Scientists should stop falsely claiming that climate change is a settled science.",4,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",3,"Climate change is a hoax perpetrated by the United Nations.",3,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",5,"They changed the name from ""global warming"" to ""climate change"" because the planet isn't warming.",3,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",7,"Cow farts cause more 'climate change' than human activity.",2,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",16,"Australian agriculture is thriving so climate change can't be real.",2,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",18,"Those who demand climate action are the usual ""torch-and-pitchfork"" crowd.",2,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",29,"Oil and gas companies could not care less about climate change.",2,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",6,"The concept of global warming was created by and for the Chinese in order to make U.S. manufacturing non-competitive.",1,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",24,"No political party can say they have a climate change action plan when they favour coal, oil, and gas companies.",1,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",27,"Countries must fulfil their Paris Climate Agreement goals.",1,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",30,"Australian politicians need to wake up to the emergency of tackling climate change.",1,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",26,"It is shameful that climate change, the greatest problem of our time, is barely discussed in the media.",0,FALSE,TRUE,""
"Items Ranked Higher in this Factor Array than in Other Factor Arrays",28,"Regardless of who is elected, the reality is that climate change is going to destroy everything.",0,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",19,"Climate change policy and renewable energy (e.g., solar power) should be a major focus of Australian political elections.",0,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",9,"Politicians and the mass media are ignorant about the risks of climate change.",-1,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",11,"Through cutting science funding, we damage Australia's ability to respond to climate change.",-1,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",17,"Australia is experiencing more extreme weather and hotter days due to climate change.",-1,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",21,"Climate change and human burning of fossil fuels are strongly linked.",-1,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",22,"People who deny the science of climate change should not hold public office.",-1,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",10,"Climate change sceptics ignore basic climate science facts.",-2,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",12,"The Great Barrier Reef is at risk from climate change.",-2,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",14,"Politicians who refuse to tackle climate change are just as bad as those who deny climate science.",-2,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",15,"The increased occurrence of extreme weather events is a clear sign that climate change is real.",-2,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",1,"It is important to vote for leaders who will combat climate change.",-3,FALSE,TRUE,""
"Items Ranked Lower in this Factor Array than in Other Factor Arrays",13,"The threat of climate change is much worse than climate scientists originally thought.",-3,FALSE,TRUE,""
"Items Ranked at Lowest Extreme",8,"Climate change is a threat to the health and safety of our children.",-4,FALSE,TRUE,""
"Not on Crib Sheet",25,"We must start working together for real solutions on climate change.",1,FALSE,TRUE,""
"Not on Crib Sheet",4,"Poor people will be impacted the worst by climate change.",0,FALSE,TRUE,""
"Not on Crib Sheet",20,"Climate sceptics, with no genuine expertise, cannot know better than climate scientists.",0,FALSE,TRUE,""
"Not on Crib Sheet",23,"We need to keep coal, oil, and gas in the ground and adopt more renewable energy sources, like solar and wind power.",0,FALSE,TRUE,""
