Scale,Overall,Acceptor,Fencesitter,Sceptic
BFI_A,3.62 (0.84),3.67 (0.83),3.56 (0.82),3.43 (0.99)
BFI_C,3.76 (0.89),3.77 (0.85),3.64 (0.98),4.07 (0.79)
BFI_E,2.85 (0.96),2.85 (0.99),2.88 (0.93),2.79 (0.88)
BFI_N,2.77 (1.06),2.89 (1.07),2.64 (0.99),2.26 (0.96)
BFI_O,3.32 (0.84),3.36 (0.89),3.24 (0.69),3.31 (0.86)
CFC_F,3.74 (0.68),3.88 (0.60),3.58 (0.71),3.22 (0.80)
CFC_I,2.57 (0.91),2.36 (0.85),2.95 (0.92),2.95 (0.78)
CI,2.32 (1.02),2.22 (0.95),2.60 (1.11),2.20 (1.07)
EWS_D,3.76 (0.75),4.04 (0.56),3.40 (0.71),2.77 (0.84)
EWS_E,2.44 (0.92),2.06 (0.69),3.00 (0.83),3.58 (0.94)
KV,2.69 (0.76),2.73 (0.71),2.57 (0.81),2.78 (0.93)
MMS_CAU_C,5.06 (1.33),5.56 (0.84),4.59 (1.27),2.69 (1.51)
MMS_CAU_E,4.61 (1.49),5.00 (1.22),4.33 (1.45),2.42 (1.46)
MMS_CAU_N,4.23 (1.51),4.15 (1.41),4.49 (1.54),3.99 (2.01)
MMS_CON_P,4.59 (1.58),5.11 (1.28),4.06 (1.56),2.35 (1.19)
MMS_CON_S,5.12 (1.51),5.73 (1.00),4.40 (1.48),2.68 (1.43)
MMS_HUM,5.59 (1.72),6.31 (0.96),4.93 (1.68),2.14 (1.36)
MMS_MIT_C,4.19 (1.26),4.33 (1.30),3.89 (1.26),4.06 (0.75)
MMS_MIT_E,4.04 (1.06),4.03 (1.04),3.98 (1.19),4.25 (0.72)
MMS_MIT_G,4.69 (1.52),4.91 (1.55),4.27 (1.52),4.40 (0.81)
NCS,3.36 (0.78),3.36 (0.77),3.33 (0.78),3.45 (0.91)
PI,3.62 (1.59),3.11 (1.45),4.38 (1.36),5.17 (1.34)
SJ,5.00 (1.58),4.80 (1.48),5.49 (1.48),4.99 (2.24)
SS_E,2.97 (1.00),2.51 (0.80),3.60 (0.74),4.42 (0.46)
SS_R,2.37 (1.01),1.90 (0.73),3.04 (0.87),3.84 (0.54)
SVSS_C,1.43 (0.91),1.26 (0.93),1.67 (0.67),2.05 (0.95)
SVSS_ST,-0.48 (0.97),-0.40 (0.95),-0.74 (0.99),-0.31 (0.93)
W,2.72 (1.01),3.10 (0.82),2.30 (0.94),1.17 (0.38)
